0,15485025571,5840
1,57800584676,12730
2,13185043155,5680
3,12496949341,5820
4,14826571892,9120
5,30594307109,9750
6,14877330342,5240
7,7844504180,7130
8,4066654315,4620
9,11201464257,13540
10,21245105237,5220
11,14376209452,7960
12,27630159834,13320
13,14969543389,4510
14,47764408165,16270
15,59708943820,13710
16,18281827691,8860
17,610973444411,2570
18,30277476152,11960
19,31981445694,11640
20,20944559370,9270
21,16403872177,6830
22,71698743363,29130
23,8181285022,5480
24,16989814126,10500
25,15127236822,15340
26,19767955940,10480
27,18473573476,12050
28,14560230200,17600
29,80673841849,20110
30,72673934295,27040
31,19394257984,9220
32,7570123340,9550
33,13470748393,6410
34,58310277075,3970
35,24077088189,5770
36,5683665071,10920
37,24298651316,11300
38,9433258490,10420
39,49623177644,17320
40,4066654315,4620
41,7927554548,5800
42,95578304591,3760
43,639285604737,2000
44,8623887994,10240
45,5734378110,7760
46,18875326550,6060
47,18399127568,5450
48,56674170201,18780
49,4219626984,8840
50,17883715074,9660
51,6493583893,9430
52,10506978743,7350
53,26576802132,11810
54,16900187161,5610
55,183480195966,25560
56,44196272747,13990
57,24998769845,4580
58,18079710349,7000
59,46995158419,15230
60,20853358777,9870
61,19610328772,12000
62,13279551229,12040
63,12496222617,9280
64,22242763834,10840
65,22874879019,7940
66,26264726906,4800
67,376393515828,3550
68,21081611957,6700
69,13269734877,7610
70,64293442784,15140
71,193997227229,3680
72,21358477521,13080
73,256155122782,21790
74,20387296873,11670
75,26097787648,5460
76,14366249546,11860
77,42191019759,20160
78,21081611957,6700
79,7859714083,8820
80,16158192611,12160
81,16011616549,8450
82,7859851345,6240
83,797827456742,2730
84,22923784564,7800
85,21011266663,15310
86,9434956100,4420
87,24028458332,6220
88,10599457909,7360
89,15615403800,8870
90,14841210702,12510
91,19151058169,6780
92,17071208003,14190
93,41522255466,13060
94,19985499641,14740
95,53530229766,18480
96,32333979444,14820
97,68331022769,19100
98,31012810191,4260
99,12496949341,5820
100,27425802139,14060
101,41696208842,16440
102,120919083690,25260
103,18721739416,5330
104,12435229329,6390
105,16549238092,6520
106,8844581286,11150
107,13560044201,5120
108,7485336624,6310
109,60715177157,17410
110,54030493447,17070
111,29236008664,5440
112,8641367291,8800
113,13598028278,8060
114,37682562668,13120
115,22895437572,15020
116,11896924544,9510
117,257330237986,2830
